nuts2_id,nuts2_name,country,modal_scenario_label,modal_scenario_share_best,woodland_share_of_land,coniferous_share_of_woodland,broadleaved_share_of_woodland,estimated_best_scenario_benefit_tco2e,estimated_best_scenario_value_eur_per_ha_land,screening_priority_score
FRC1,Bourgogne,France,Material Cascade,0.855,0.6705987522945119,0.512286877235595,0.08316175982238584,524070.64642143075,1.6672254504605908,30.04821589717532
FRC2,Franche-Comté,France,Material Cascade,0.855,0.645286014236698,0.5581078131820166,0.059700011904289516,501232.6483853041,1.6042935691136122,27.653984728898784
FRB0,Centre — Val de Loire,France,Material Cascade,0.855,0.6431568666749381,0.5313748961259942,0.029989909382295912,502624.9060491655,1.5990001369522693,27.639299403269828
EE00,Eesti,Estonia,Material Cascade,0.6725,0.7000281829070668,0.0,0.0,584890.8479999998,2.575613189600506,27.53484521351679
DE94,Weser-Ems,Germany,Conservation Priority,0.7525,0.6796090618491647,0.41981255448997384,0.08771578029642546,463009.62881268305,1.3716893612228311,23.678581844704937
DE93,Lüneburg,Germany,Conservation Priority,0.7525,0.6795468482907565,0.4326638445542094,0.07982422104900623,462967.24344997574,1.371563792449572,23.67424681890885
DEA4,Detmold,Germany,Conservation Priority,0.7525,0.6791621055637523,0.41903397892413213,0.08762340244746362,460825.77345795196,1.3707872467337108,23.55139904563099
DEA3,Münster,Germany,Conservation Priority,0.7525,0.6791502070344105,0.4327636500608811,0.07948264232591956,460817.70005553146,1.3707632313298135,23.550573838937087
DEA1,Düsseldorf,Germany,Conservation Priority,0.7525,0.6596140831001025,0.519250500696719,0.08485185201779658,450473.6532043327,1.331332483765461,22.35969212036449
DE92,Hannover,Germany,Conservation Priority,0.7525,0.6560834491196782,0.4912331402200859,0.07507032904510541,446981.90665748896,1.3242064265346425,22.067621683798638
DEA2,Köln,Germany,Conservation Priority,0.7525,0.6547760696777878,0.4942213338179175,0.07552698528075595,444279.3351972441,1.3215676764469921,21.89048663969827
DEA5,Arnsberg,Germany,Conservation Priority,0.7525,0.651420597927738,0.5879326217539126,0.08323838518261947,442862.4530724555,1.3147951580098434,21.708851729510332
FRH0,Bretagne,France,Material Cascade,0.855,0.6207009300523154,0.0,0.0,254857.73771862985,1.5431707621986404,13.525282178220012
FRI1,Aquitaine,France,Material Cascade,0.855,0.5953206608850399,0.5490366700108515,0.09988534223296001,242854.48771662472,1.4800709867361317,12.36127314780368
FRG0,Pays de la Loire,France,Material Cascade,0.855,0.5920667021894982,0.0,0.0,243100.61898220022,1.4719810779294238,12.306167342276952
PL92,Mazowiecki regionalny,Poland,Conservation Priority,0.89,0.1995285489785228,0.060383302704121816,0.7752690995011814,655244.6025144758,34.323970796986686,11.635860424149286
CZ04,Severozápad,Czechia,Conservation Priority,0.9875,0.626843585063878,0.13715769593956562,0.472851746931067,186457.48378125936,9.197330626017825,11.54186816254916
CZ05,Severovýchod,Czechia,Conservation Priority,0.9875,0.6131800917476447,0.14109886573887861,0.5022926554581288,182393.21536707864,8.99685371514224,11.044188992627152
CZ03,Jihozápad,Czechia,Conservation Priority,0.9875,0.6105439660699314,0.1117124394184168,0.451373182552504,181644.9204604966,8.958175295186496,10.951593252747871
CZ01,Praha,Czechia,Conservation Priority,0.9875,0.609656260788085,0.10766866202879793,0.47184921533732405,181380.81637582058,8.945150484579603,10.919770091174339
CZ02,Střední Čechy,Czechia,Conservation Priority,0.9875,0.6000394535680821,0.12040766006410783,0.4763705103969754,178519.68879183056,8.804048369671575,10.577987080737165
PL91,Warszawski stołeczny,Poland,Conservation Priority,0.89,0.18755560207232194,0.08035714285714286,0.8250558035714286,616538.8961438386,32.26432027546385,10.291543824186359
PL84,Podlaskie,Poland,Conservation Priority,0.89,0.1875032707101366,0.09070611219648339,0.6977393245883338,616366.8707821914,32.25531795395842,10.285801576383939
FI20,Åland,Finland,Conservation Priority,0.625,0.1576677078685111,0.0,0.0,925022.3540704512,137.59071159756823,9.115384643338896
FRF2,Champagne-Ardenne,France,Material Cascade,0.855,0.7202778173713604,0.0,0.0,138196.49018464304,1.79073627025829,8.510658570238359
