country,country_code,iso3_code,scenario,scenario_label,draws_best,share_best
Austria,AT,AUT,conservation_priority,Conservation Priority,318,0.795
Austria,AT,AUT,material_cascade,Material Cascade,82,0.205
Belgium,BE,BEL,conservation_priority,Conservation Priority,399,0.9975
Belgium,BE,BEL,material_cascade,Material Cascade,1,0.0025
Bulgaria,BG,BGR,conservation_priority,Conservation Priority,68,0.17
Bulgaria,BG,BGR,material_cascade,Material Cascade,332,0.83
Croatia,HR,HRV,conservation_priority,Conservation Priority,85,0.2125
Croatia,HR,HRV,material_cascade,Material Cascade,315,0.7875
Cyprus,CY,CYP,conservation_priority,Conservation Priority,2,0.005
Cyprus,CY,CYP,material_cascade,Material Cascade,398,0.995
Czechia,CZ,CZE,conservation_priority,Conservation Priority,395,0.9875
Czechia,CZ,CZE,material_cascade,Material Cascade,5,0.0125
Denmark,DK,DNK,conservation_priority,Conservation Priority,117,0.2925
Denmark,DK,DNK,material_cascade,Material Cascade,283,0.7075
Estonia,EE,EST,conservation_priority,Conservation Priority,131,0.3275
Estonia,EE,EST,material_cascade,Material Cascade,269,0.6725
Finland,FI,FIN,bioenergy_push,Bioenergy Push,1,0.0025
Finland,FI,FIN,conservation_priority,Conservation Priority,250,0.625
Finland,FI,FIN,material_cascade,Material Cascade,149,0.3725
France,FR,FRA,conservation_priority,Conservation Priority,58,0.145
France,FR,FRA,material_cascade,Material Cascade,342,0.855
Germany,DE,DEU,conservation_priority,Conservation Priority,301,0.7525
Germany,DE,DEU,material_cascade,Material Cascade,99,0.2475
Greece,EL,GRC,bioenergy_push,Bioenergy Push,1,0.0025
Greece,EL,GRC,conservation_priority,Conservation Priority,5,0.0125
Greece,EL,GRC,material_cascade,Material Cascade,394,0.985
Hungary,HU,HUN,conservation_priority,Conservation Priority,68,0.17
Hungary,HU,HUN,material_cascade,Material Cascade,332,0.83
Ireland,IE,IRL,conservation_priority,Conservation Priority,76,0.19
Ireland,IE,IRL,material_cascade,Material Cascade,324,0.81
Italy,IT,ITA,conservation_priority,Conservation Priority,12,0.03
Italy,IT,ITA,material_cascade,Material Cascade,388,0.97
Latvia,LV,LVA,conservation_priority,Conservation Priority,276,0.69
Latvia,LV,LVA,material_cascade,Material Cascade,124,0.31
Lithuania,LT,LTU,conservation_priority,Conservation Priority,236,0.59
Lithuania,LT,LTU,material_cascade,Material Cascade,164,0.41
Luxembourg,LU,LUX,conservation_priority,Conservation Priority,336,0.84
Luxembourg,LU,LUX,material_cascade,Material Cascade,64,0.16
Netherlands,NL,NLD,conservation_priority,Conservation Priority,82,0.205
Netherlands,NL,NLD,material_cascade,Material Cascade,318,0.795
Poland,PL,POL,conservation_priority,Conservation Priority,356,0.89
Poland,PL,POL,material_cascade,Material Cascade,44,0.11
Portugal,PT,PRT,conservation_priority,Conservation Priority,245,0.6125
Portugal,PT,PRT,material_cascade,Material Cascade,155,0.3875
Romania,RO,ROU,conservation_priority,Conservation Priority,165,0.4125
Romania,RO,ROU,material_cascade,Material Cascade,235,0.5875
Slovakia,SK,SVK,conservation_priority,Conservation Priority,69,0.1725
Slovakia,SK,SVK,material_cascade,Material Cascade,331,0.8275
Slovenia,SI,SVN,conservation_priority,Conservation Priority,272,0.68
Slovenia,SI,SVN,material_cascade,Material Cascade,128,0.32
Spain,ES,ESP,bioenergy_push,Bioenergy Push,7,0.0175
Spain,ES,ESP,conservation_priority,Conservation Priority,165,0.4125
Spain,ES,ESP,material_cascade,Material Cascade,228,0.57
Sweden,SE,SWE,bioenergy_push,Bioenergy Push,8,0.02
Sweden,SE,SWE,conservation_priority,Conservation Priority,50,0.125
Sweden,SE,SWE,material_cascade,Material Cascade,342,0.855
